title,publisher,doi,published,cited_num,times_cited,abstract,keywords,keyword_plus,authors_address,author_university,author_id,cited
Speaking Stata: Density probability plots,STATA JOURNAL,NO DOI,2005,13,9,"Density probability plots show two guesses at the density function of a continuous variable, given a data sample. The first guess is the density function of a specified distribution (e.g., normal, exponential, gamma, etc.) with appropriate parameter values plugged in. The second guess is the same density function evaluated at quantiles corresponding to plotting positions associated with the sample's order statistics. If the specified distribution fits well, the two guesses will be close. Such plots, suggested by Jones and Daly in 1995, are explained and discussed with examples from simulated and real data. Comparisons are made with histograms, kernel density estimation, and quantile-quantile plots.","gr0012,density probability plots,distributions,histograms,kernel density estimation,quantile-quantile plots,statistical graphics",BOOTSTRAP,"Cox, NJ@Univ Durham, Durham DH1 3HP, England","Cox, NJ@Durham University",not exist,"Speaking Stata: Graphing agreement and disagreement+Cox, N. J.+The Stata Journal+2004::no title+COX NJ+STATA J+2004::THE ANALYSIS OF RAINFALL PROBABILITY. A GRAPHICAL METHOD AND ITS APPLICATION TO EUROPEAN DATA+Crowe, P. R.+SCOTTISH GEOGRAPHICAL MAGAZINE+MAR 15 1933::1977 RIETZ LECTURE - BOOTSTRAP METHODS - ANOTHER LOOK AT THE JACKKNIFE+EFRON, B+ANNALS OF STATISTICS+1979::THE FORM OF GLACIAL CIRQUES IN THE ENGLISH-LAKE-DISTRICT, CUMBRIA+EVANS, IS; COX, NJ+ZEITSCHRIFT FUR GEOMORPHOLOGIE+JUN 1995::no title+FALKOFF AD+HIST PROGRAMMING LAN+1981::A short prehistory of the bootstrap+Hall, P+STATISTICAL SCIENCE+MAY 2003::DENSITY PROBABILITY PLOTS+JONES, MC; DALY, F+COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION+1995::NONPARAMETRIC STATISTICAL-DATA MODELING+PARZEN, E+JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION+1979::Quantile probability and statistical data modeling+Parzen, E+STATISTICAL SCIENCE+NOV 2004::MATHEMATICAL-STATISTICS IN EARLY STATES+STIGLER, SM+ANNALS OF STATISTICS+1978::Some graphic and semigraphic displays+Tuckey, JW.+STAT PAPERS HONOR GW+1972::no title+Tukey, JW.+Exploratory data analysis+1977"
"Stata tip 19: A way to leaner, faster graphs",STATA JOURNAL,NO DOI,2005,0,518,no abstract,,,"Royston, P@MRC, Clin Trials Unit, London W1N 4AL, England","Royston, P@Medical Research Council Clinical Trials Unit",not exist,
Stata tip 20: Generating histogram bin variables,STATA JOURNAL,NO DOI,2005,0,0,no abstract,,,"Harrison, DA@ICNARC, London, England","Harrison, DA@Intensive Care National Audit & Research Centre","Harrison, David@O-4355-2018@http://orcid.org/0000-0002-9002-9098",
Stata tip 21: The arrows of outrageous fortune,STATA JOURNAL,NO DOI,2005,0,2,no abstract,,,"Cox, NJ@Univ Durham, Durham DH1 3HP, England","Cox, NJ@Durham University",not exist,
Estimation of nonstationary heterogeneous panels,STATA JOURNAL,NO DOI,2007,11,100,"We introduce a new Stata command, xtpmg, for estimating nonstationary heterogeneous panels in which the number of groups and number of time-series observations are both large. Based on recent advances in the nonstationary panel literature, xtpmg provides three alternative estimators: a traditional fixed-effects estimator; the mean-group estimator of Pesaran and Smith (Estimating long-run relationships from dynamic heterogeneous panels, Journal of Econometrics 68: 79-113); and the pooled mean-group estimator of Pesaran, Shin, and Smith (Estimating long-run relationships in dynamic heterogeneous panels, DAE Working Papers Amalgamated Series 9721; Pooled mean group estimation of dynamic heterogeneous panels, Journal of the American Statistical Association 94: 621-634).","st0125,xtpmg,nonstationary panels,heterogeneous dynamic panels,pooled mean-group estimator,mean-group estimator,panel cointegration","MEAN GROUP ESTIMATION,DEMAND","Blackburne, Edward F., III@Sam Houston State Univ, Dept Econ & Int Business, Huntsville, TX 77340 USA::Frank, Mark W.@Sam Houston State Univ, Dept Econ & Int Business, Huntsville, TX 77340 USA","Blackburne, Edward F., III@Texas State University System@Sam Houston State University::Frank, Mark W.@Texas State University System@Sam Houston State University",not exist,"SOME TESTS OF SPECIFICATION FOR PANEL DATA - MONTE-CARLO EVIDENCE AND AN APPLICATION TO EMPLOYMENT EQUATIONS+ARELLANO, M; BOND, S+REVIEW OF ECONOMIC STUDIES+APR 1991::To pool or not to pool: Homogeneous versus heterogeneous estimators applied to cigarette demand+Baltagi, BH; Griffin, JM; Xiong, WW+REVIEW OF ECONOMICS AND STATISTICS+FEB 2000::Instrumental Variables and GMM: Estimation and Testing+Baum, Christopher F; Schaffer, Mark E.; Stillman, Steven.+Stata Journal+2003::Income inequality and economic growth in the US: a panel cointegration approach+Frank, M. W.+Sam Houston State University Working Paper+2005::Alternative panel estimates of alcohol demand, taxation, and the business cycle+Freeman, DG+SOUTHERN ECONOMIC JOURNAL+OCT 2000::Testing for unit roots in heterogeneous panels+Im, KS; Pesaran, MH; Shin, Y+JOURNAL OF ECONOMETRICS+JUL 2003::Pooled mean group estimation of an environmental Kuznets curve for CO2+Martinez-Zarzoso, I; Bengochea-Morancho, A+ECONOMICS LETTERS+JAN 2004::Estimating Long-run Relationships in Dynamic Heterogeneous Panels', DAE Working Papers+Pesaran, M. H.; Shin, Y.; Smith, R.+DAE WORKING PAPERS+1997::ESTIMATING LONG-RUN RELATIONSHIPS FROM DYNAMIC HETEROGENEOUS PANELS+PESARAN, MH; SMITH, R+JOURNAL OF ECONOMETRICS+JUL 1995::Pooled mean group estimation of dynamic heterogeneous panels+Pesaran, MH; Shin, YC; Smith, RP+JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION+JUN 1999::Nonstationary panel data analysis: an overview of some recent developments+Phillips, P. C.; Moon, H. R.+Econ. Rev.+2000"
QIC program and model selection in GEE analyses,STATA JOURNAL,NO DOI,2007,16,125,"The generalized estimating equation (GEE) approach is a widely used statistical method in the analysis of longitudinal data in clinical and epidemiological studies. It is an extension of the generalized linear model (GLM) method to correlated data such that valid standard errors of the parameter estimates can be drawn. Unlike the GLM method, which is based on the maximum likelihood theory for independent observations, the GEE method is based on the quasilikelihood theory and no assumption is made about the distribution of response observations. Therefore. Akaike's information criterion, a widely used method for model selection in GLM; is not applicable to GEE directly. However, Pan (Biometrics 2001; 57: 120-125) proposed a model-selection method for GEE and termed it quasilikelihood under the independence model criterion. This criterion can also be used to select the best-working correlation structure. From Pan's methods, I developed a general Stata program, qic, that accommodates all the distribution and link functions and correlation structures available in Stata version 9. In this paper, I introduce this program and demonstrate how to use it to select the best working correlation structure and the best subset of covariates through two examples in longitudinal studies.","st0126,qic,Akaike's information criterion,GEE,likelihood,model,quasilikelihood under the independence model criterion","GENERALIZED LINEAR-MODELS,SEGREGATION ANALYSES,CANCER","Cui, James@Monash Univ, Dept Epidemiol & Prevent Med, Melbourne, Vic 3004, Australia","Cui, James@Monash University",not exist,"NEW LOOK AT STATISTICAL-MODEL IDENTIFICATION+AKAIKE, H+IEEE TRANSACTIONS ON AUTOMATIC CONTROL+1974::no title+no author+National Longitudinal Survey of Labor Market Experience+1989::Segregation analyses of 1,476 population-based Australian families affected by prostate cancer+Cui, JS; Staples, MP; Hopper, JL; et al.+AMERICAN JOURNAL OF HUMAN GENETICS+MAY 2001::After BRCA1 and BRCA2-what next? Multifactorial segregation analyses of three-generation, population-based Australian families affected by female breast cancer+Cui, JS; Antoniou, AC; Dite, GS; et al.+AMERICAN JOURNAL OF HUMAN GENETICS+FEB 2001::no title+DIGGLE P+ANAL LONGITUDNINAL D+2002::no title+FITZMAURICS GM+APPL LONGITUDINAL DA+2004::no title+Hardin, JW.+Generalized estimating equations+2003::LONGITUDINAL DATA-ANALYSIS USING GENERALIZED LINEAR-MODELS+LIANG, KY; ZEGER, SL+BIOMETRIKA+APR 1986::no title+McCullagh, P.; Nelder, J.+Generalized Linear Models+1989::GENERALIZED LINEAR MODELS+NELDER, JA; WEDDERBURN, RW+JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-GENERAL+1972::Akaike's information criterion in generalized estimating equations+Pan, W+BIOMETRICS+MAR 2001::no title+Rabe-Hesketh, S. S.+A. . Multilevel and Longitudinal Modeling Using STATA+2005::no title+Singer, JD; Willett, JB.+Applied Longitudinal Data Analysis: Modeling Change and Event Occurrence+2003::no title+no author+Stata statistical software: release 9+2005::QUASI-LIKELIHOOD FUNCTIONS, GENERALIZED LINEAR-MODELS, AND GAUSS-NEWTON METHOD+WEDDERBURN, RWM+BIOMETRIKA+1974::no title+Weiss, R. E.+Modeling Longitudinal Data+2005"
predict and adjust with logistic regression,STATA JOURNAL,NO DOI,2007,2,5,"Within Stata there are two ways of getting average predicted values for different groups after an estimation command: adjust and predict. After OLS regression (regress), these two ways give the same answer. However, after logistic regression, the average predicted probabilities differ. This article discusses where that difference comes from and the consequent subtle difference in interpretation.","st0127,adjust,predict,logistic regression",,"Buis, Maarten L.@Vrije Univ Amsterdam, Dept Social Res Methodol, NL-1081 HV Amsterdam, Netherlands","Buis, Maarten L.@Vrije Universiteit Amsterdam","Buis, Maarten@A-2974-2010@http://orcid.org/0000-0002-4150-4710","Estimation of Marginal Effects Using margeff+Bartus, Tamas.+Stata Journal+2005::no title+POI BP+FAQ PREDICT ADJUST+2002"
Making regression tables simplified,STATA JOURNAL,NO DOI,2007,3,34,"estout, introduced by Jann (Stata Journal 5: 288-308), is a useful tool for producing regression tables from stored estimates. However, its syntax is relatively complex and commands may turn out long even for simple tables. Furthermore, having to store the estimates beforehand can be cumbersome. To facilitate the production of regression tables, I therefore present here two new commands called eststo and esttab. eststo is a wrapper for official Stata's estimates store and simplifies the storing of estimation results for tabulation. esttab, on the other hand, is a wrapper for estout and simplifies compiling nice-looking tables frond the stored estimates without much typing. I also provide updates to estout and estadd.","st0085_1,csv,estadd,estimates,estout,eststo,esttab,excel,html,latex,regression table,rtf,word",,"Jann, Ben@ETH, Dept Humanities Social & Polit Sci, Zurich, Switzerland","Jann, Ben@ETH Zurich","Jann, Ben@A-5655-2008","no title+Burke, S. M.+RTF Pocket Guide+2003::sg97: Formatting regression output for published tables+Gallup, J. L.+Stata Technical Bulletin+1998::Making regression tables from stored estimates+Jann, B.+&lt;IT&gt;Stata Journal &lt;/IT&gt;+2005"
"Review of A Handbook of Statistical Analyses Using Stata, Fourth Edition, by Rabe-Hesketh and Everitt",STATA JOURNAL,NO DOI,2007,7,0,"This article reviews A Handbook of Statistical Analyses Using Stata, Fourth Edition; by Sophia Rabe-Hesketh and Brian S. Everitt.","gn0037,applied statistics,Stata texts",,"Dupont, William D.@Vanderbilt Univ, Sch Med, Dept Biostat, Nashville, TN 37240 USA","Dupont, William D.@Vanderbilt University","Dupont, William@I-4430-2012","no title+DUPONT WD+STAT MODELING BIOMED+2002::no title+HUBER PJ+P 5 BERG S MATH STAT+1967::no title+Rabe-Hesketh, S; Everitt, B.S.+HDB STAT ANAL USING+2007::no title+Rabe-Hesketh, S. S.+A. . Multilevel and Longitudinal Modeling Using STATA+2005::MAXIMUM-LIKELIHOOD ESTIMATION OF MIS-SPECIFIED MODELS+WHITE, H+ECONOMETRICA+1982::no title+WINTER N+STATA J+2004::LONGITUDINAL DATA-ANALYSIS FOR DISCRETE AND CONTINUOUS OUTCOMES+ZEGER, SL; LIANG, KY+BIOMETRICS+MAR 1986"
Speaking Stata: Identifying spells,STATA JOURNAL,NO DOI,2007,4,3,"Spells in time series (and more generally in any kind of one-dimensional series) may be defined as sequences of observations that are homogeneous in some sense. For example, a categorical variable may remain in the same state, or values of a measured variable may satisfy the same true-false condition. Devices for working with spells in Stata include marking the start of each spell with indicator variables and tagging spells with integer codes. Panel data are easy to handle with the by: prefix. Some kinds of spell identification require two passes through the data; as when only spells of some minimum length are of interest or short gaps are tolerable within spells. Many questions concerning spells are easy to answer given careful use of by: and appropriate sort order, selection of just 1 observation from each panel or spell; and appreciation of the many functions written for egen. Caps before; between; and after spells can also be important, and I suggest a convention for handling them.","dm0029,spells,runs,time series,data management",,"Cox, Nicholas J.@Univ Durham, Durham, England","Cox, Nicholas J.@Durham University",not exist,"Speaking Stata: How to move step by: step+Cox, N. J.+Stata Journal+2002::Stata tip 39: In a list or out? In a range or out?+Cox, Nicholas J.+STATA JOURNAL+2006::no title+HARTIGAN JA+CLUSERING ALGORITHMS+1975::no title+KANTOR D+STATA J+2005"
Stata tip 44: Get a handle on your sample,STATA JOURNAL,NO DOI,2007,1,1,no abstract,,,"Jann, Ben@ETH, Zurich, Switzerland","Jann, Ben@ETH Zurich","Jann, Ben@A-5655-2008","Stata tip 30: May the source be with you+Cox, Nicholas J.+STATA JOURNAL+2006"
Stata tip 45: Getting those data into shape,STATA JOURNAL,NO DOI,2007,0,2,no abstract,,,"Baum, Christopher F.@Boston Coll, Dept Econ, Chestnut Hill, MA 02467 USA@Univ Durham, Dept Geog, Durham, England::Cox, Nicholas J.@Boston Coll, Dept Econ, Chestnut Hill, MA 02467 USA@Univ Durham, Dept Geog, Durham, England","Baum, Christopher F.@Boston College@Durham University::Cox, Nicholas J.@Boston College@Durham University","Baum, Christopher@B-4811-2011::Baum, Christopher@A-9424-2008::Baum, Christopher@http://orcid.org/0000-0003-4766-3699",
"Stata tip 46: Step we gaily, on we go",STATA JOURNAL,NO DOI,2007,0,1,no abstract,,,"Williams, Richard@Univ Notre Dame, Notre Dame, IN 46556 USA","Williams, Richard@University of Notre Dame",not exist,
Stata tip 47: Quintile-quintile plots without programming,STATA JOURNAL,NO DOI,2007,8,3,no abstract,,,"Cox, Nicholas J.@Univ Durham, Durham, England","Cox, Nicholas J.@Durham University",not exist,"no title+Beirlant, J; Goegebeur, Y; Segers, J.<span class=""fcr-data-normal"">; et al</span><span class=""fcr-data-additional"" style=""display: none;"">; Teugels, J</span>.+Statistics of Extremes: Theory and application+2004::no title+Cleveland, W. S.+The Elements of Graphing Data+1994::no title+Cleveland, WS.+Visualizing data+1993::no title+Coles, S.+An Introduction to Statistical Modeling of Extreme Values+2001::no title+Davison, A. C.+Statistical Models+2003::no title+Reiss, R. D.; Thomas, M.+Statistical Analysis of Extreme Values+2001::no title+Rice, J. H.+Mathematical Statistics and Data Analysis+2007::PROBABILITY PLOTTING METHODS FOR ANALYSIS OF DATA+WILK, MB; GNANADES.R+BIOMETRIKA+1968"
